Order_ID,Order_Date,Month,Month_Name,Week,Store,City,Category,Product,Quantity,Price,Discount,Sales,Profit,Payment_Mode
ORD00000,2023-11-24,11,November,47,DMart-Thane-3,Thane,Groceries,Oil,3,399,0.07,1113.21,161.02,Cash
ORD00001,2023-12-13,12,December,50,DMart-Pune-1,Pune,Groceries,Tissue,4,322,0.01,1275.12,135.11,UPI
ORD00002,2023-09-16,9,September,37,DMart-Thane-1,Thane,Household,Rice,5,121,0.13,526.35,75.84,Card
ORD00003,2023-01-04,1,January,1,DMart-Nashik-1,Nashik,Personal Care,Bread,3,194,0.04,558.72,79.93,Card
ORD00004,2023-02-22,2,February,8,DMart-Pune-2,Pune,Personal Care,Sugar,3,69,0.27,151.11,25.51,Cash
ORD00005,2023-08-24,8,August,34,DMart-Nashik-2,Nashik,Groceries,Tissue,4,492,0.02,1928.64,405.8,Card
ORD00006,2023-10-23,10,October,43,DMart-Mumbai-2,Mumbai,Groceries,Eggs,2,43,0.24,65.36,10.32,UPI
ORD00007,2023-02-21,2,February,8,DMart-Pune-1,Pune,Beverages,Water,3,252,0.05,718.2,124.99,Card
ORD00008,2023-12-26,12,December,52,DMart-Mumbai-3,Mumbai,Household,Sugar,2,345,0.17,572.7,140.78,Wallet
ORD00009,2023-07-14,7,July,28,DMart-Mumbai-1,Mumbai,Household,Shampoo,3,132,0.26,293.04,74.33,UPI
ORD00010,2023-01-17,1,January,3,DMart-Thane-1,Thane,Personal Care,Chips,1,157,0.06,147.58,41.71,Card
ORD00011,2023-04-19,4,April,16,DMart-Pune-1,Pune,Personal Care,Coffee,4,472,0.04,1812.48,277.27,Card
ORD00012,2023-10-27,10,October,43,DMart-Mumbai-3,Mumbai,Household,Juice,3,224,0.07,624.96,187.15,Wallet
ORD00013,2023-02-16,2,February,7,DMart-Thane-1,Thane,Groceries,Wheat,2,98,0.25,147.0,34.71,Cash
ORD00014,2023-07-17,7,July,29,DMart-Nashik-2,Nashik,Household,Water,5,259,0.08,1191.4,350.53,Cash
ORD00015,2023-12-15,12,December,50,DMart-Mumbai-2,Mumbai,Household,Oil,3,404,0.24,921.12,210.19,Card
ORD00016,2023-08-11,8,August,32,DMart-Nagpur-3,Nagpur,Personal Care,Bread,3,21,0.16,52.92,13.36,Cash
ORD00017,2023-11-17,11,November,46,DMart-Mumbai-3,Mumbai,Household,Toothpaste,2,331,0.04,635.52,111.08,Cash
ORD00018,2023-11-03,11,November,44,DMart-Nashik-2,Nashik,Personal Care,Chips,1,29,0.29,20.59,3.55,Card
ORD00019,2023-05-03,5,May,18,DMart-Thane-3,Thane,Dairy,Wheat,5,469,0.3,1641.5,190.01,Wallet
ORD00020,2023-02-05,2,February,5,DMart-Pune-2,Pune,Dairy,Tissue,4,85,0.3,238.0,49.97,Wallet
ORD00021,2023-04-19,4,April,16,DMart-Thane-2,Thane,Dairy,Tissue,3,385,0.12,1016.4,303.93,Card
ORD00022,2023-08-13,8,August,32,DMart-Mumbai-1,Mumbai,Personal Care,Detergent,2,81,0.07,150.66,17.0,UPI
ORD00023,2023-10-29,10,October,43,DMart-Mumbai-1,Mumbai,Groceries,Soap,1,56,0.07,52.08,5.91,Card
ORD00024,2023-02-06,2,February,6,DMart-Thane-3,Thane,Dairy,Detergent,4,162,0.06,609.12,126.6,Wallet
ORD00025,2023-05-05,5,May,18,DMart-Pune-3,Pune,Personal Care,Coffee,1,117,0.03,113.49,26.31,Wallet
ORD00026,2023-07-30,7,July,30,DMart-Pune-3,Pune,Groceries,Tea,1,364,0.01,360.36,65.05,Cash
ORD00027,2023-05-08,5,May,19,DMart-Pune-2,Pune,Dairy,Eggs,4,294,0.04,1128.96,208.15,Wallet
ORD00028,2023-05-08,5,May,19,DMart-Nagpur-3,Nagpur,Personal Care,Sugar,5,433,0.03,2100.05,231.25,Cash
ORD00029,2023-02-17,2,February,7,DMart-Nagpur-1,Nagpur,Dairy,Soap,4,228,0.15,775.2,110.66,Cash
ORD00030,2023-03-26,3,March,12,DMart-Nagpur-2,Nagpur,Groceries,Water,3,219,0.29,466.47,119.8,Card
ORD00031,2023-08-05,8,August,31,DMart-Mumbai-1,Mumbai,Personal Care,Tissue,2,99,0.09,180.18,25.86,Cash
ORD00032,2023-06-10,6,June,23,DMart-Nagpur-3,Nagpur,Groceries,Wheat,4,319,0.16,1071.84,304.27,UPI
ORD00033,2023-01-30,1,January,5,DMart-Thane-2,Thane,Groceries,Detergent,2,455,0.02,891.8,195.31,UPI
ORD00034,2023-07-26,7,July,30,DMart-Mumbai-2,Mumbai,Household,Oil,5,146,0.19,591.3,63.83,Wallet
ORD00035,2023-12-03,12,December,48,DMart-Pune-3,Pune,Beverages,Detergent,3,498,0.06,1404.36,328.54,UPI
ORD00036,2023-05-16,5,May,20,DMart-Nashik-1,Nashik,Dairy,Water,3,363,0.14,936.54,152.88,Cash
ORD00037,2023-01-05,1,January,1,DMart-Nagpur-3,Nagpur,Household,Tea,1,308,0.02,301.84,62.64,Card
ORD00038,2023-03-09,3,March,10,DMart-Nagpur-2,Nagpur,Groceries,Biscuits,2,470,0.11,836.6,131.34,Card
ORD00039,2023-11-10,11,November,45,DMart-Mumbai-2,Mumbai,Groceries,Detergent,5,361,0.09,1642.55,470.35,UPI
ORD00040,2023-05-16,5,May,20,DMart-Thane-1,Thane,Groceries,Oil,5,400,0.04,1920.0,296.58,UPI
ORD00041,2023-06-25,6,June,25,DMart-Nashik-2,Nashik,Beverages,Eggs,4,278,0.08,1023.04,287.54,Cash
ORD00042,2023-02-17,2,February,7,DMart-Thane-2,Thane,Beverages,Juice,1,42,0.1,37.8,9.61,Card
ORD00043,2023-03-24,3,March,12,DMart-Mumbai-2,Mumbai,Household,Tea,4,381,0.17,1264.92,128.94,UPI
ORD00044,2023-10-07,10,October,40,DMart-Mumbai-1,Mumbai,Beverages,Wheat,5,318,0.04,1526.4,283.85,Card
ORD00045,2023-07-06,7,July,27,DMart-Nashik-1,Nashik,Beverages,Wheat,2,127,0.21,200.66,24.19,Wallet
ORD00046,2023-11-14,11,November,46,DMart-Nashik-3,Nashik,Dairy,Milk,2,462,0.25,693.0,181.67,Wallet
ORD00047,2023-01-13,1,January,2,DMart-Thane-3,Thane,Beverages,Bread,4,420,0.25,1260.0,294.82,UPI
ORD00048,2023-05-17,5,May,20,DMart-Pune-1,Pune,Groceries,Bread,1,215,0.27,156.95,30.47,Wallet
ORD00049,2023-06-29,6,June,26,DMart-Pune-3,Pune,Dairy,Toothpaste,1,134,0.21,105.86,14.67,Card
ORD00050,2023-02-05,2,February,5,DMart-Nashik-2,Nashik,Beverages,Shampoo,5,348,0.12,1531.2,361.22,Card
ORD00051,2023-01-15,1,January,2,DMart-Mumbai-1,Mumbai,Beverages,Oil,5,111,0.3,388.5,115.27,Cash
ORD00052,2023-11-02,11,November,44,DMart-Nagpur-3,Nagpur,Beverages,Juice,3,393,0.13,1025.73,226.93,Cash
ORD00053,2023-07-17,7,July,29,DMart-Nashik-1,Nashik,Beverages,Eggs,4,42,0.0,168.0,34.27,UPI
ORD00054,2023-07-06,7,July,27,DMart-Nashik-2,Nashik,Groceries,Juice,3,360,0.19,874.8,142.4,Cash
